Date,Open,High,Low,Close,Adj Close,Volume
2019-06-11,150.179993,151.229996,147.929993,149.259995,149.016541,86900
2019-06-12,149.240005,153.889999,148.500000,152.669998,152.420975,120900
2019-06-13,153.389999,154.889999,152.220001,153.929993,153.678925,99200
2019-06-14,153.850006,154.399994,150.330002,150.580002,150.334396,63000
2019-06-17,150.880005,151.589996,149.350006,149.850006,149.605591,80700
2019-06-18,151.139999,153.029999,150.529999,152.330002,152.081543,87600
2019-06-19,151.970001,154.509995,151.149994,154.380005,154.128204,73400
2019-06-20,156.119995,161.529999,154.899994,160.570007,160.308105,161200
2019-06-21,159.649994,162.410004,159.149994,161.850006,161.586014,197800
2019-06-24,162.000000,162.539993,161.009995,161.839996,161.576019,160000
2019-06-25,161.970001,164.539993,160.770004,163.559998,163.293213,165900
2019-06-26,163.910004,164.070007,160.759995,160.789993,160.527725,114300
2019-06-27,160.710007,163.729996,159.970001,163.440002,163.173416,113200
2019-06-28,163.750000,167.470001,163.699997,166.809998,166.537918,239800
2019-07-01,169.139999,171.539993,166.369995,169.050003,168.774261,127000
2019-07-02,169.119995,169.119995,166.360001,168.070007,167.795868,119000
2019-07-03,168.449997,169.880005,166.940002,167.529999,167.256744,78000
2019-07-05,166.160004,167.080002,164.979996,166.009995,165.739212,91400
2019-07-08,165.160004,166.009995,161.899994,162.949997,162.684219,103800
2019-07-09,161.699997,162.970001,160.610001,162.809998,162.544449,91200
2019-07-10,163.399994,163.919998,161.130005,162.679993,162.414642,65300
2019-07-11,163.050003,163.449997,161.399994,162.580002,162.314819,100800
2019-07-12,163.009995,165.429993,163.009995,164.160004,163.892242,77800
2019-07-15,164.220001,164.220001,161.539993,162.960007,162.694199,86800
2019-07-16,163.229996,165.619995,163.229996,164.339996,164.071945,93500
2019-07-17,163.910004,163.910004,160.380005,160.520004,160.258179,62700
2019-07-18,160.160004,162.440002,159.369995,161.830002,161.566040,63200
2019-07-19,161.479996,164.389999,161.220001,161.630005,161.366379,71100
2019-07-22,161.259995,162.880005,160.559998,161.160004,160.897141,69100
2019-07-23,161.600006,165.089996,161.600006,164.520004,164.251663,77500
2019-07-24,163.529999,165.669998,162.740005,164.169998,163.902222,129000
2019-07-25,164.440002,164.440002,161.690002,161.910004,161.645920,77400
2019-07-26,162.199997,164.869995,161.350006,164.419998,164.151810,47700
2019-07-29,163.940002,164.460007,161.899994,162.080002,161.815643,67700
2019-07-30,161.559998,164.910004,161.139999,164.789993,164.521210,93800
2019-07-31,164.820007,167.550003,161.899994,162.690002,162.424637,129500
2019-08-01,159.979996,166.880005,155.899994,160.479996,160.218246,136400
2019-08-02,159.529999,163.199997,158.720001,161.940002,161.675858,102800
2019-08-05,159.000000,162.699997,155.440002,156.869995,156.614120,128300
2019-08-06,157.660004,160.860001,154.990005,157.479996,157.223129,93200
2019-08-07,156.110001,160.360001,155.220001,159.139999,158.880432,89700
2019-08-08,159.860001,163.369995,158.259995,162.800003,162.534470,64300
2019-08-09,162.410004,162.520004,159.779999,160.509995,160.248184,59100
2019-08-12,159.529999,160.669998,158.539993,158.539993,158.281403,38100
2019-08-13,158.289993,162.550003,158.289993,161.919998,161.655899,49300
2019-08-14,158.880005,159.919998,156.139999,156.149994,155.895294,57300
2019-08-15,156.949997,157.509995,154.020004,157.089996,156.833771,70100
2019-08-16,158.210007,160.570007,158.210007,159.960007,159.699097,47900
2019-08-19,161.880005,162.440002,158.029999,158.479996,158.221497,64200
2019-08-20,157.800003,159.300003,156.110001,157.759995,157.502670,72400
2019-08-21,159.369995,159.500000,157.309998,157.759995,157.502670,71900
2019-08-22,158.229996,159.809998,157.100006,158.850006,158.590912,107300
2019-08-23,158.350006,159.550003,150.410004,151.050003,150.803635,79100
2019-08-26,150.960007,153.270004,149.979996,150.789993,150.544037,83600
2019-08-27,151.919998,154.589996,150.229996,153.669998,153.419357,102800
2019-08-28,153.000000,156.789993,152.309998,156.000000,155.745544,63800
2019-08-29,157.669998,160.330002,157.449997,159.740005,159.479462,82000
2019-08-30,160.000000,160.500000,158.410004,159.529999,159.269791,55100
2019-09-03,158.360001,158.360001,153.250000,156.369995,156.114944,118100
2019-09-04,157.990005,157.990005,156.080002,156.660004,156.404480,95400
2019-09-05,158.570007,162.600006,157.440002,160.639999,160.377975,113000
2019-09-06,160.440002,161.000000,159.380005,159.520004,159.259811,87000
2019-09-09,160.000000,160.589996,158.179993,159.429993,159.169952,79400
2019-09-10,159.080002,160.669998,156.779999,159.000000,158.740662,81000
2019-09-11,159.690002,159.690002,157.589996,159.000000,158.740662,139900
2019-09-12,159.380005,162.580002,154.830002,162.119995,161.855560,131800
