Date,Open,High,Low,Close,Adj Close,Volume
2019-07-11,173.110001,174.800003,171.500000,173.330002,173.330002,1111200
2019-07-12,174.460007,174.460007,170.929993,174.190002,174.190002,1224400
2019-07-15,174.899994,174.899994,172.699997,173.710007,173.710007,812500
2019-07-16,174.020004,174.660004,170.669998,171.009995,171.009995,1076000
2019-07-17,170.649994,172.020004,169.770004,171.619995,171.619995,1102600
2019-07-18,170.679993,173.630005,170.570007,172.380005,172.380005,904300
2019-07-19,173.300003,174.350006,169.210007,169.309998,169.309998,1155900
2019-07-22,170.309998,172.270004,170.089996,170.360001,170.360001,1072300
2019-07-23,171.449997,171.449997,167.970001,169.740005,169.740005,952300
2019-07-24,169.020004,173.949997,167.929993,173.509995,173.509995,1086400
2019-07-25,171.910004,172.759995,167.149994,169.919998,169.919998,1591000
2019-07-26,170.229996,171.509995,167.770004,167.990005,167.990005,1159200
2019-07-29,168.309998,168.619995,160.699997,162.770004,162.770004,1930100
2019-07-30,162.080002,162.850006,160.009995,160.289993,160.289993,1036500
2019-07-31,160.279999,160.600006,154.289993,156.169998,156.169998,1676100
2019-08-01,156.119995,158.830002,153.029999,153.470001,153.470001,2680300
2019-08-02,153.229996,154.270004,146.100006,147.759995,147.759995,3830700
2019-08-05,143.580002,144.050003,141.059998,143.570007,143.570007,3382200
2019-08-06,145.259995,146.669998,142.059998,143.669998,143.669998,2234200
2019-08-07,141.880005,144.960007,140.639999,144.169998,144.169998,1790600
2019-08-08,146.479996,152.220001,146.190002,152.089996,152.089996,3198600
2019-08-09,151.039993,152.669998,149.460007,151.339996,151.339996,1888200
2019-08-12,149.529999,150.360001,147.850006,148.869995,148.869995,2587100
2019-08-13,148.589996,154.520004,148.139999,151.809998,151.809998,1795400
2019-08-14,148.520004,148.669998,143.610001,146.919998,146.919998,2198600
2019-08-15,144.990005,144.990005,141.460007,142.919998,142.919998,3180500
2019-08-16,144.710007,145.320007,143.539993,144.130005,144.130005,1951800
2019-08-19,146.750000,146.800003,145.460007,146.179993,146.179993,1900500
2019-08-20,145.720001,147.419998,144.529999,146.559998,146.559998,1078300
2019-08-21,147.750000,148.100006,145.009995,145.949997,145.949997,1967100
2019-08-22,145.899994,146.429993,143.169998,145.210007,145.210007,2616000
2019-08-23,144.399994,147.110001,143.240005,143.990005,143.990005,2552500
2019-08-26,145.820007,147.860001,145.660004,147.800003,147.800003,2027100
2019-08-27,149.449997,151.399994,148.690002,150.210007,150.210007,4223900
2019-08-28,131.429993,141.360001,129.699997,140.080002,140.080002,18498400
2019-08-29,142.020004,142.979996,140.160004,142.630005,142.630005,3284400
2019-08-30,143.789993,144.130005,141.110001,142.820007,142.820007,2991400
2019-09-03,141.000000,143.000000,139.869995,141.149994,141.149994,2335600
2019-09-04,142.559998,145.589996,141.860001,144.339996,144.339996,1879700
2019-09-05,146.279999,149.110001,145.619995,148.220001,148.220001,2956800
2019-09-06,148.830002,152.710007,148.100006,150.350006,150.350006,2092900
2019-09-09,151.020004,151.649994,147.570007,151.020004,151.020004,2900600
2019-09-10,149.979996,151.369995,146.059998,148.050003,148.050003,2077200
2019-09-11,149.270004,154.910004,147.550003,154.669998,154.669998,3307200
2019-09-12,155.669998,159.880005,155.050003,155.690002,155.690002,3478900
2019-09-13,155.529999,156.139999,152.869995,153.479996,153.479996,1994200
2019-09-16,152.470001,155.009995,152.460007,153.869995,153.869995,1505100
2019-09-17,152.250000,153.860001,152.000000,153.669998,153.669998,1318400
2019-09-18,152.130005,152.339996,148.250000,151.110001,151.110001,2046100
2019-09-19,151.389999,154.190002,151.389999,153.380005,153.380005,1345100
2019-09-20,153.139999,154.259995,151.429993,153.339996,153.339996,1925700
2019-09-23,152.460007,153.529999,151.699997,152.369995,152.369995,1042700
2019-09-24,152.940002,153.630005,148.169998,149.130005,149.130005,1975600
2019-09-25,148.850006,149.139999,144.919998,147.429993,147.429993,2022900
2019-09-26,146.860001,149.889999,145.720001,149.070007,149.070007,1058900
2019-09-27,149.369995,149.990005,143.699997,145.190002,145.190002,1781300
2019-09-30,145.740005,147.970001,144.699997,147.699997,147.699997,1182500
2019-10-01,148.500000,149.490005,144.990005,145.710007,145.710007,1586000
2019-10-02,143.990005,144.119995,141.679993,142.839996,142.839996,1620000
2019-10-03,142.369995,145.080002,140.259995,144.770004,144.770004,1402300
2019-10-04,145.880005,147.389999,144.250000,146.889999,146.889999,1200400
2019-10-07,145.979996,148.509995,145.979996,147.559998,147.559998,1019100
2019-10-08,146.169998,148.000000,145.309998,145.649994,145.649994,1727600
2019-10-09,147.320007,148.699997,146.289993,148.369995,148.369995,854700
2019-10-10,147.949997,149.089996,144.500000,144.729996,144.729996,1456800
2019-10-11,147.160004,152.259995,146.699997,150.320007,150.320007,1856800
